SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,SUBDIV_NORMAL_ANNUAL,SUBDIV_NORMAL_MONSOON,CLIMATIC_ZONE,ANNUAL_PDN,MONSOON_PDN,ANNUAL_ZSCORE,MONSOON_ZSCORE,LAG1_ANNUAL,LAG2_ANNUAL,LAG3_ANNUAL,LAG1_MONSOON,ANNUAL_MOMENTUM,ROLL3_MEAN_ANNUAL,ROLL5_MEAN_ANNUAL,ROLL5_STD_ANNUAL,DECADAL_DRIFT,WINTER_PCT,PRE_MONSOON_PCT,MONSOON_CONCENTRATION_PCT,RETREATING_MONSOON_PCT,EARLY_VS_LATE_MONSOON_RATIO,JUNE_ONSET_PDN,IMD_DROUGHT_CATEGORY,IS_DROUGHT_YEAR
ANDAMAN & NICOBAR ISLANDS,1921,13.20,3.10,0.00,37.50,351.20,282.70,487.10,330.00,581.20,360.70,118.20,41.50,2606.40,16.30,388.70,1681.00,520.40,2929.95,1709.22,Hyper-Pluvial,-11.04,-1.65,-0.801,-0.098,2943.20,2352.10,3275.00,1814.10,+591.10,2856.77,2824.04,315.58,-146.67,0.63,14.91,64.50,19.97,0.845,-39.90,Normal,0
ANDAMAN & NICOBAR ISLANDS,1922,245.30,34.30,15.60,323.10,289.70,506.10,425.80,307.40,511.70,162.00,541.00,192.20,3554.20,279.60,628.40,1751.00,895.20,2929.95,1709.22,Hyper-Pluvial,+21.31,+2.44,+1.545,+0.145,2606.40,2943.20,2352.10,1681.00,-336.80,2633.90,2757.82,319.54,-154.75,7.87,17.68,49.27,25.19,1.138,+7.59,Excess (Deluge),0
ANDAMAN & NICOBAR ISLANDS,1923,79.50,0.00,38.74,91.30,293.50,808.40,636.90,182.20,560.50,131.90,197.40,70.60,3090.94,79.50,423.54,2188.00,399.90,2929.95,1709.22,Hyper-Pluvial,+5.49,+28.01,+0.398,+1.663,3554.20,2606.40,2943.20,1751.00,+947.80,3034.60,2946.18,435.02,-95.38,2.57,13.70,70.79,12.94,1.946,+71.86,Normal,0
ANDAMAN & NICOBAR ISLANDS,1924,28.70,0.00,14.80,89.70,191.20,261.20,493.30,290.90,251.20,331.10,378.60,180.37,2511.07,28.70,295.70,1296.60,890.07,2929.95,1709.22,Hyper-Pluvial,-14.30,-24.14,-1.037,-1.433,3090.94,3554.20,2606.40,2188.00,-463.26,3083.85,2909.37,412.86,-22.87,1.14,11.78,51.64,35.45,1.392,-44.47,Normal,0
ANDAMAN & NICOBAR ISLANDS,1925,36.60,0.00,8.60,50.40,282.20,663.80,241.80,278.20,201.90,249.50,271.50,196.00,2480.50,36.60,341.20,1385.70,717.00,2929.95,1709.22,Hyper-Pluvial,-15.34,-18.93,-1.112,-1.124,2511.07,3090.94,3554.20,1296.60,-579.87,3052.07,2941.16,372.91,-67.54,1.48,13.76,55.86,28.91,1.886,+41.12,Normal,0
ANDAMAN & NICOBAR ISLANDS,1926,122.10,0.00,0.00,0.50,198.40,370.00,195.30,523.70,719.30,443.80,148.40,560.70,3282.20,122.10,198.90,1808.30,1152.90,2929.95,1709.22,Hyper-Pluvial,+12.02,+5.80,+0.872,+0.344,2480.50,2511.07,3090.94,1385.70,-30.57,2694.17,2848.62,415.86,-93.62,3.72,6.06,55.09,35.13,0.455,-21.34,Normal,0
ANDAMAN & NICOBAR ISLANDS,1927,3.00,17.50,17.80,108.60,504.10,433.30,195.20,370.10,126.20,327.50,274.10,65.50,2442.90,20.50,630.50,1124.80,667.10,2929.95,1709.22,Hyper-Pluvial,-16.62,-34.19,-1.205,-2.030,3282.20,2480.50,2511.07,1808.30,+801.70,2757.92,2983.78,424.89,-59.15,0.84,25.81,46.04,27.31,1.266,-7.88,Normal,0
ANDAMAN & NICOBAR ISLANDS,1928,50.90,67.60,80.70,129.30,499.50,410.20,406.30,391.50,404.80,444.50,99.50,13.50,2998.30,118.50,709.50,1612.80,557.50,2929.95,1709.22,Hyper-Pluvial,+2.33,-5.64,+0.169,-0.335,2442.90,3282.20,2480.50,1124.80,-839.30,2735.20,2761.52,352.94,-76.10,3.95,23.66,53.79,18.59,1.025,-12.80,Normal,0
ANDAMAN & NICOBAR ISLANDS,1929,74.20,118.40,129.20,69.80,316.60,588.80,134.00,644.70,172.90,413.00,251.50,13.50,2926.60,192.60,515.60,1540.40,678.00,2929.95,1709.22,Hyper-Pluvial,-0.11,-9.88,-0.008,-0.586,2998.30,2442.90,3282.20,1612.80,+555.40,2907.80,2742.99,337.25,-103.77,6.58,17.62,52.63,23.17,0.884,+25.17,Normal,0
ANDAMAN & NICOBAR ISLANDS,1930,87.40,105.40,131.20,10.90,231.50,533.60,317.90,446.70,677.20,82.30,249.40,201.60,3075.10,192.80,373.60,1975.40,533.30,2929.95,1709.22,Hyper-Pluvial,+4.95,+15.57,+0.359,+0.925,2926.60,2998.30,2442.90,1540.40,-71.70,2789.27,2826.10,320.64,-46.32,6.27,12.15,64.24,17.34,0.758,+13.44,Normal,0
ANDAMAN & NICOBAR ISLANDS,1931,25.30,0.00,2.50,2.50,205.40,393.50,289.30,571.00,294.40,368.30,22.80,182.70,2357.70,25.30,210.40,1548.20,573.80,2929.95,1709.22,Hyper-Pluvial,-19.53,-9.42,-1.416,-0.559,3075.10,2926.60,2998.30,1975.40,+148.50,3000.00,2945.02,277.82,-33.13,1.07,8.92,65.67,24.34,0.789,-16.35,Deficient (Moderate Drought),1
ANDAMAN & NICOBAR ISLANDS,1932,2.80,2.50,10.10,58.20,479.70,475.64,437.84,418.94,429.21,359.74,296.74,151.88,3123.29,5.30,548.00,1761.63,808.36,2929.95,1709.22,Hyper-Pluvial,+6.60,+3.07,+0.478,+0.182,2357.70,3075.10,2926.60,1548.20,-717.40,2786.47,2760.12,298.74,-58.00,0.17,17.55,56.40,25.88,1.077,+1.12,Normal,0
ANDAMAN & NICOBAR ISLANDS,1933,4.50,11.70,8.10,58.40,365.40,544.20,376.60,294.10,759.00,239.80,268.80,56.90,2987.50,16.20,431.90,1973.90,565.50,2929.95,1709.22,Hyper-Pluvial,+1.96,+15.49,+0.142,+0.919,3123.29,2357.70,3075.10,1761.63,+765.59,2852.03,2896.20,277.45,-101.09,0.54,14.46,66.07,18.93,0.874,+15.69,Normal,0
ANDAMAN & NICOBAR ISLANDS,1934,7.30,172.90,6.90,131.40,62.00,708.40,323.50,924.90,761.10,338.10,240.20,46.10,3722.80,180.20,200.30,2717.90,624.40,2929.95,1709.22,Hyper-Pluvial,+27.06,+59.01,+1.962,+3.504,2987.50,3123.29,2357.70,1973.90,-135.79,2822.83,2894.04,276.69,-111.43,4.84,5.38,73.01,16.77,0.612,+50.60,Excess (Deluge),0
ANDAMAN & NICOBAR ISLANDS,1935,6.60,0.00,0.50,133.60,726.80,374.10,368.70,411.60,578.90,182.40,275.40,95.40,3154.00,6.60,860.90,1733.30,553.20,2929.95,1709.22,Hyper-Pluvial,+7.65,+1.41,+0.554,+0.084,3722.80,2987.50,3123.29,2717.90,+735.30,3277.86,3053.28,434.00,+9.74,0.21,27.30,54.96,17.54,0.750,-20.47,Normal,0
ANDAMAN & NICOBAR ISLANDS,1936,16.50,15.30,116.50,113.81,194.30,498.30,664.80,562.90,383.80,174.90,199.20,212.20,3152.51,31.80,424.61,2109.80,586.30,2929.95,1709.22,Hyper-Pluvial,+7.60,+23.44,+0.551,+1.391,3154.00,3722.80,2987.50,1733.30,-568.80,3288.10,3069.06,435.94,+77.09,1.01,13.47,66.92,18.60,1.229,+5.93,Normal,0
ANDAMAN & NICOBAR ISLANDS,1937,21.60,10.70,0.00,112.00,330.50,732.80,449.50,332.00,349.50,383.30,251.70,617.50,3591.10,32.30,442.50,1863.80,1252.50,2929.95,1709.22,Hyper-Pluvial,+22.57,+9.04,+1.636,+0.537,3152.51,3154.00,3722.80,2109.80,-1.49,3343.10,3228.02,254.87,+64.12,0.90,12.32,51.90,34.88,1.735,+55.79,Excess (Deluge),0
ANDAMAN & NICOBAR ISLANDS,1938,13.40,57.20,50.50,101.60,368.90,668.60,318.20,397.10,546.70,318.40,316.30,107.50,3264.40,70.60,521.00,1930.60,742.20,2929.95,1709.22,Hyper-Pluvial,+11.41,+12.95,+0.828,+0.769,3591.10,3152.51,3154.00,1863.80,+438.59,3299.20,3321.58,283.51,+178.94,2.16,15.96,59.14,22.74,1.046,+42.14,Normal,0
ANDAMAN & NICOBAR ISLANDS,1939,54.10,1.50,16.10,77.30,480.50,541.00,335.60,202.80,512.50,263.90,165.90,131.30,2782.50,55.60,573.90,1591.90,561.10,2929.95,1709.22,Hyper-Pluvial,-5.03,-6.86,-0.365,-0.408,3264.40,3591.10,3152.51,1930.60,-326.70,3336.00,3376.96,235.89,+205.55,2.00,20.63,57.21,20.17,1.225,+15.01,Normal,0
ANDAMAN & NICOBAR ISLANDS,1940,0.50,2.80,59.40,0.00,320.70,335.40,268.10,889.20,477.50,114.10,221.00,318.80,3007.50,3.30,380.10,1970.20,653.90,2929.95,1709.22,Hyper-Pluvial,+2.65,+15.27,+0.192,+0.907,2782.50,3264.40,3591.10,1591.90,-481.90,3212.67,3188.90,258.91,+191.14,0.11,12.64,65.51,21.74,0.442,-28.70,Normal,0
ANDAMAN & NICOBAR ISLANDS,1941,0.00,12.80,0.00,77.80,251.90,497.00,302.50,311.90,516.00,382.80,266.00,279.50,2898.20,12.80,329.70,1627.40,928.30,2929.95,1709.22,Hyper-Pluvial,-1.08,-4.79,-0.079,-0.284,3007.50,2782.50,3264.40,1970.20,+225.00,3018.13,3159.60,269.28,+184.38,0.44,11.38,56.15,32.03,0.966,+5.66,Normal,0
ANDAMAN & NICOBAR ISLANDS,1942,39.20,7.40,19.61,45.92,201.49,336.54,368.29,384.17,411.83,351.05,292.40,222.77,2680.67,46.60,267.02,1500.83,866.22,2929.95,1709.22,Hyper-Pluvial,-8.51,-12.19,-0.617,-0.724,2898.20,3007.50,2782.50,1627.40,-109.30,2896.07,3108.74,289.11,+238.43,1.74,9.96,55.99,32.31,0.885,-28.46,Normal,0
ANDAMAN & NICOBAR ISLANDS,1946,84.40,3.60,21.10,135.20,309.10,535.90,189.00,367.40,478.30,276.90,146.90,243.80,2791.60,88.00,465.40,1570.60,667.60,2929.95,1709.22,Hyper-Pluvial,-4.72,-8.11,-0.342,-0.482,2680.67,2898.20,3007.50,1500.83,-217.53,2862.12,2926.65,201.35,+194.17,3.15,16.67,56.26,23.91,0.857,+13.93,Normal,0
ANDAMAN & NICOBAR ISLANDS,1947,25.10,111.10,63.20,127.70,206.30,965.60,490.00,293.70,387.17,376.00,67.50,168.60,3281.97,136.20,397.20,2136.47,612.10,2929.95,1709.22,Hyper-Pluvial,+12.01,+25.00,+0.871,+1.484,2791.60,2680.67,2898.20,1570.60,+110.93,2790.16,2832.09,111.50,+174.58,4.15,12.10,65.10,18.65,2.138,+105.28,Normal,0
ANDAMAN & NICOBAR ISLANDS,1949,0.00,56.40,0.00,166.50,405.80,658.40,743.30,404.00,627.50,339.60,81.10,7.00,3489.60,56.40,572.30,2433.20,427.70,2929.95,1709.22,Hyper-Pluvial,+19.10,+42.36,+1.385,+2.515,3281.97,2791.60,2680.67,2136.47,+490.37,2918.08,2931.99,206.01,+130.50,1.62,16.40,69.73,12.26,1.359,+39.97,Normal,0
ANDAMAN & NICOBAR ISLANDS,1950,0.80,0.00,0.00,95.50,264.20,369.90,366.70,347.30,494.50,224.60,89.30,169.40,2422.20,0.80,359.70,1578.40,483.30,2929.95,1709.22,Hyper-Pluvial,-17.33,-7.65,-1.257,-0.454,3489.60,3281.97,2791.60,2433.20,+207.63,3187.72,3028.41,306.90,+164.06,0.03,14.85,65.16,19.95,0.875,-21.36,Normal,0
ANDAMAN & NICOBAR ISLANDS,1951,82.70,7.20,0.00,45.40,259.00,619.90,665.30,101.30,360.90,489.00,209.60,434.80,3275.10,89.90,304.40,1747.40,1133.40,2929.95,1709.22,Hyper-Pluvial,+11.78,+2.23,+0.854,+0.133,2422.20,3489.60,3281.97,1578.40,-1067.40,3064.59,2933.21,394.00,+91.02,2.74,9.29,53.35,34.61,2.781,+31.78,Normal,0
ANDAMAN & NICOBAR ISLANDS,1952,0.00,0.80,69.70,39.40,452.90,657.70,385.50,541.30,240.30,315.60,287.50,89.20,3079.90,0.80,562.00,1824.80,692.30,2929.95,1709.22,Hyper-Pluvial,+5.12,+6.76,+0.371,+0.401,3275.10,2422.20,3489.60,1747.40,+852.90,3062.30,3052.09,389.52,+59.42,0.03,18.25,59.25,22.48,1.335,+39.82,Normal,0
ANDAMAN & NICOBAR ISLANDS,1953,56.00,65.30,20.10,159.40,241.10,549.90,444.40,262.80,370.10,243.60,246.00,63.30,2722.00,121.30,420.60,1627.20,552.90,2929.95,1709.22,Hyper-Pluvial,-7.10,-4.80,-0.515,-0.285,3079.90,3275.10,2422.20,1824.80,-195.20,2925.73,3109.75,367.40,+40.97,4.46,15.45,59.78,20.31,1.571,+16.90,Normal,0
ANDAMAN & NICOBAR ISLANDS,1954,83.80,2.10,34.30,58.00,394.70,539.40,510.80,605.40,763.80,247.20,84.80,124.70,3449.00,85.90,487.00,2419.40,456.70,2929.95,1709.22,Hyper-Pluvial,+17.72,+41.55,+1.285,+2.467,2722.00,3079.90,3275.10,1627.20,-357.90,3025.67,2997.76,382.85,+34.92,2.49,14.12,70.15,13.24,0.767,+14.67,Normal,0
ANDAMAN & NICOBAR ISLANDS,1955,57.30,28.20,9.90,68.80,663.60,651.10,298.40,356.90,341.80,466.50,362.90,44.20,3349.60,85.50,742.30,1648.20,873.60,2929.95,1709.22,Hyper-Pluvial,+14.32,-3.57,+1.039,-0.212,3449.00,2722.00,3079.90,2419.40,+727.00,3083.63,2989.64,372.63,+79.07,2.55,22.16,49.21,26.08,1.359,+38.42,Normal,0
ANDAMAN & NICOBAR ISLANDS,1956,49.20,77.20,33.80,130.30,491.80,343.10,468.40,467.70,325.10,458.70,164.10,70.50,3079.90,126.40,655.90,1604.30,693.30,2929.95,1709.22,Hyper-Pluvial,+5.12,-6.14,+0.371,-0.364,3349.60,3449.00,2722.00,1648.20,-99.40,3173.53,3175.12,256.84,+124.21,4.10,21.30,52.09,22.51,1.024,-27.06,Normal,0
ANDAMAN & NICOBAR ISLANDS,1957,28.00,19.30,4.60,19.00,142.40,741.90,316.20,421.30,354.30,299.70,88.60,71.90,2507.20,47.30,166.00,1833.70,460.20,2929.95,1709.22,Hyper-Pluvial,-14.43,+7.28,-1.046,+0.432,3079.90,3349.60,3449.00,1604.30,-269.70,3292.83,3136.08,253.49,+164.14,1.89,6.62,73.14,18.36,1.364,+57.72,Normal,0
ANDAMAN & NICOBAR ISLANDS,1958,22.90,14.30,30.40,24.60,355.10,530.70,440.70,388.40,350.60,265.20,313.80,70.70,2807.40,37.20,410.10,1710.40,649.70,2929.95,1709.22,Hyper-Pluvial,-4.18,+0.07,-0.303,+0.004,2507.20,3079.90,3349.60,1833.70,-572.70,2978.90,3021.54,360.01,+135.70,1.33,14.61,60.92,23.14,1.314,+12.82,Normal,0
ANDAMAN & NICOBAR ISLANDS,1959,10.10,1.80,31.30,86.70,238.10,455.70,817.10,409.30,589.60,332.70,242.50,128.50,3343.40,11.90,356.10,2271.70,703.70,2929.95,1709.22,Hyper-Pluvial,+14.11,+32.91,+1.023,+1.954,2807.40,2507.20,3079.90,1710.40,+300.20,2798.17,3038.62,347.19,+88.24,0.36,10.65,67.95,21.05,1.274,-3.12,Normal,0
ANDAMAN & NICOBAR ISLANDS,1960,104.20,72.40,12.10,53.50,535.40,541.50,308.40,270.70,442.40,400.00,191.70,92.80,3025.10,176.60,601.00,1563.00,684.50,2929.95,1709.22,Hyper-Pluvial,+3.25,-8.55,+0.235,-0.508,3343.40,2807.40,2507.20,2271.70,+536.00,2886.00,3017.50,324.02,+73.62,5.84,19.87,51.67,22.63,1.192,+15.12,Normal,0
ANDAMAN & NICOBAR ISLANDS,1961,82.10,99.40,33.20,88.10,973.10,383.30,304.90,557.10,612.00,379.90,280.60,144.50,3938.20,181.50,1094.40,1857.30,805.00,2929.95,1709.22,Hyper-Pluvial,+34.41,+8.66,+2.495,+0.514,3025.10,3343.40,2807.40,1563.00,-318.30,3058.63,2952.60,280.59,+133.91,4.61,27.79,47.16,20.44,0.589,-18.51,Excess (Deluge),0
ANDAMAN & NICOBAR ISLANDS,1962,152.40,14.90,17.30,46.40,310.40,367.70,409.10,420.60,474.50,259.80,101.70,384.90,2959.70,167.30,374.10,1671.90,746.40,2929.95,1709.22,Hyper-Pluvial,+1.02,-2.18,+0.074,-0.130,3938.20,3025.10,3343.40,1857.30,+913.10,3435.57,3124.26,490.21,+200.22,5.65,12.64,56.49,25.22,0.868,-21.83,Normal,0
ANDAMAN & NICOBAR ISLANDS,1963,79.90,26.80,7.40,69.50,259.90,434.70,303.30,601.20,614.30,295.50,109.30,179.90,2981.70,106.70,336.80,1953.50,584.70,2929.95,1709.22,Hyper-Pluvial,+1.77,+14.29,+0.128,+0.849,2959.70,3938.20,3025.10,1671.90,-978.50,3307.67,3214.76,401.72,+188.20,3.58,11.30,65.52,19.61,0.607,-7.59,Normal,0
ANDAMAN & NICOBAR ISLANDS,1964,65.50,21.90,3.10,18.10,530.60,465.30,287.30,472.10,521.20,218.90,349.20,101.60,3054.80,87.40,551.80,1745.90,669.70,2929.95,1709.22,Hyper-Pluvial,+4.26,+2.15,+0.309,+0.127,2981.70,2959.70,3938.20,1953.50,+22.00,3293.20,3249.62,371.26,+214.17,2.86,18.06,57.15,21.92,0.758,-1.08,Normal,0
ANDAMAN & NICOBAR ISLANDS,1965,11.80,30.40,25.30,51.00,292.30,408.80,392.10,396.60,576.80,290.50,187.90,500.40,3163.90,42.20,368.60,1774.30,978.80,2929.95,1709.22,Hyper-Pluvial,+7.98,+3.81,+0.579,+0.226,3054.80,2981.70,2959.70,1745.90,+73.10,2998.73,3191.90,374.62,+174.75,1.33,11.65,56.08,30.94,0.823,-13.09,Normal,0
ANDAMAN & NICOBAR ISLANDS,1966,79.80,4.20,12.00,38.70,376.90,148.80,433.50,335.60,454.10,171.90,333.80,311.90,2701.20,84.00,427.60,1372.00,817.60,2929.95,1709.22,Hyper-Pluvial,-7.81,-19.73,-0.566,-1.171,3163.90,3054.80,2981.70,1774.30,+109.10,3066.80,3219.66,366.28,+156.18,3.11,15.83,50.79,30.27,0.737,-68.37,Normal,0
ANDAMAN & NICOBAR ISLANDS,1967,164.60,21.60,30.00,63.40,516.40,340.80,537.80,614.30,303.50,427.50,99.70,97.00,3216.60,186.20,609.80,1796.40,624.20,2929.95,1709.22,Hyper-Pluvial,+9.78,+5.10,+0.709,+0.303,2701.20,3163.90,3054.80,1372.00,-462.70,2973.30,2972.26,153.14,+118.31,5.79,18.96,55.85,19.41,0.957,-27.55,Normal,0
